"Fehlercode";"Fehlerkategorie";"Fehlertext"
"NW_FS_11";"SCHRIFTLICHKEIT";"Zwei Fremdsprachen oder eines von mindestens zwei naturwissenschaftlichen Fächern muss von Q1.1 bis wenigstens Q2.1 schriftlich belegt werden."
"NW_FS_12_INFO";"HINWEIS";"Da von EF.1 bis Q2.2 weniger als zwei naturwissenschaftliche Fächer durchgehend belegt wurden, oder kein naturwissenschaftliches Fach schriftlich belegt wurde, liegt ausschließlich ein Sprachenschwerpunkt vor.<br>Da in EF.1 weniger als zwei Naturwissenschaften belegt, oder keine schriftlich belegt wurden, müssen zwei Fremdsprachen bis Q2.2 durchgehend schriftlich belegt werden."
"NW_FS_13_INFO";"HINWEIS";"Da von EF.1 bis Q2.2 weniger als zwei Fremdsprachen schriftlich belegt wurden, liegt ausschließlich ein naturwissenschaftlicher Schwerpunkt vor.<br>Da in EF.1 weniger als zwei Fremdsprachen schriftlich belegt wurden, müssen zwei Naturwissenschaften bis Q2.2 belegt, davon mindestens eine schriftlich belegt werden."
"PF_10";"BELEGUNG";"In der Einführungsphase können keine Projektkurse belegt werden.<br>In EF.1 können keine Projektkurse belegt werden."
"PF_11";"BELEGUNG";"In der Qualifikationsphase kann maximal ein Projektkurs belegt werden."
"PF_12";"BELEGUNG";"Projektkurse können nur dann belegt werden, wenn gleichzeitig oder maximal zwei Halbjahre vorher auch das Leitfach im gleichem Umfang belegt wurde."
"PF_13";"BELEGUNG";"Ein Projektkurs kann nur belegt werden, wenn in der Qualifikationsphase zeitgleich oder vorab auch sein Leitfach zwei Halbjahre lang belegt wurde."
"PF_14";"BELEGUNG";"In der Qualifikationsphase kann maximal ein Projektkurs in zwei aufeinanderfolgenden Halbjahren belegt werden."
"PF_15";"BELEGUNG";"Es existiert kein Projektkurs, der als besondere Lernleistung eingebracht werden kann."
"PF_16_INFO";"HINWEIS";"Wird der Projektkurs als besondere Lernleistung in das Abitur eingebracht, so zählt er nicht mehr zu den einbringungsfähigen Kursen in Block I."
"PF_17_INFO";"HINWEIS";"Ein Projektkurs soll nur im Ausnahmefall abgewählt werden. Bei einem abgewählten Projektkurs werden lediglich die Wochenstunden auf die Laufbahn angerechnet."
"RE_10";"BELEGUNG";"Religionslehre muss wenigstens von EF.1-Q1.2 durchgehend belegt werden. Als Ersatz kann Philosophie dienen, sofern Philosophie nicht die einzige von EF.1 bis Q2.2 durchgehend belegte Gesellschaftswissenschaft ist. In diesen Fällen muss ein weiteres Fach der Gesellschaftswissenschaften als Religionsersatz dienen.<br>Ein Religionskurs muss in EF.1 belegt werden. Als Ersatz kann Philosophie belegt werden, sofern eine weitere Gesellschaftswissenschaft bis zum Abitur belegt wird."
"RE_11";"BELEGUNG";"Philosophie darf nicht die einzige durchgehend von Q1.1 bis Q2.2 belegte Geisteswissenschaft sein."
"SP_10";"BELEGUNG";"Sport muss von EF.1 bis Q2.2 belegt werden.<br>Sport muss in EF.1 belegt werden."
"STD_10";"BELEGUNG";"Der Pflichtunterricht darf 102 Stunden nicht unterschreiten."
"STD_11_INFO";"HINWEIS";"Der Pflichtunterricht darf nur in begründeten Ausnahmefällen 102 Stunden unterschreiten."
"SW_1_INFO";"HINWEIS";"Programmfehler: Dieser Hinweis ist für eine Gesamtbelegprüfung der Sek II nicht vorgesehen!<br>Wird Sozialwissenschaften nicht in EF.1 belegt, so muss Sozialwissenschaften in der Qualifikationsphase als Zusatzkurs gewählt werden."
"SW_10";"BELEGUNG";"Sozialwissenschaften muss von EF.1 bis wenigstens Q1.2 oder als Zusatzkurs (in der Regel von Q2.1 bis Q2.2) belegt werden."
"VF_10";"BELEGUNG";"In der Einführungsphase können maximal vier Vertiefungskurse belegt werden."
"VF_11";"BELEGUNG";"In der Qualifikationsphase können maximal zwei Vertiefungskurse belegt werden."
"WST_10";"BELEGUNG";"Die Summe der durchschnittlichen Jahreskursstunden von EF.1 bis Q2.2 darf 100 nicht unterschreiten."
"WST_20";"BELEGUNG";"Die durchschnittliche Wochenstundenzahl muss in der Einführungsphase mindestens 34 Stunden betragen."
"WST_21";"BELEGUNG";"Die durchschnittliche Wochenstundenzahl muss in der Qualifikationsphase mindestens 34 Stunden betragen."
"ZK_10";"BELEGUNG";"Ein Zusatzkurs in Geschichte oder Sozialwissenschaften kann nur angewählt werden, wenn das Fach im vorangegangenen Halbjahr nicht belegt wurde."
"ZK_11";"BELEGUNG";"Ein Zusatzkurs in Geschichte oder Sozialwissenschaften muss in zwei aufeinanderfolgenden Halbjahren belegt werden."
"ZK_12";"BELEGUNG";"Zusatzkurse dürfen maximal in zwei aufeinanderfolgenden Halbjahren belegt werden."
"ZK_13";"BELEGUNG";"Zusatzkurse dürfen nur einmal pro Fach belegt werden und können nicht in einem bilingualen Fach gewählt werden."
